,t,T_h,T_c,q,dThdt,dTcdt,dTh,dTc
0,0,80,2,208.87449674500095,0,0.8441359968705402,0,0.8441359968705402
1,1,80,2.8441359968705404,206.61400339204363,0,0.8350005407011478,0,0.8350005407011478
2,2,80,3.6791365375716882,204.37797367767493,0,0.8259639507804784,0,0.8259639507804784
3,3,80,4.505100488352166,202.1661428501264,0,0.8170251571526423,0,0.8170251571526423
4,4,80,5.3221256455048085,199.97824902284097,0,0.8081831014410865,0,0.8081831014410865
5,5,80,6.130308746945895,197.81403314346505,0,0.7994367367232801,0,0.7994367367232801
6,6,80,6.9297454836691745,195.67323896317606,0,0.7907850274067565,0,0.7907850274067565
7,7,80,7.720530511075931,193.55561300634187,0,0.7822269491064964,0,0.7822269491064964
8,8,80,8.502757460182428,191.4609045405086,0,0.7737614885236374,0,0.7737614885236374
9,9,80,9.276518948706066,189.38886554671322,0,0.765387643325497,0,0.765387643325497
10,10,80,10.041906592031562,187.33925069011764,0,0.7571044220268949,0,0.7571044220268949
11,11,80,10.799011014058458,185.31181729096016,0,0.7489108438727569,0,0.7489108438727569
12,12,80,11.547921857931215,183.30632529582178,0,0.7408059387219917,0,0.7408059387219917
13,13,80,12.288727796653207,181.322537249203,0,0.7327887469326237,0,0.7327887469326237
14,14,80,13.02151654358583,179.36021826540875,0,0.7248583192481688,0,0.7248583192481688
15,15,80,13.746374862834,177.4191360007371,0,0.7170137166852398,0,0.7170137166852398
16,16,80,14.46338857951924,175.49906062596926,0,0.7092540104223688,0,0.7092540104223688
17,17,80,15.172642589941608,173.59976479915713,0,0.7015782816900313,0,0.7015782816900313
18,18,80,15.874220871631639,171.7210236387055,0,0.6939856216618631,0,0.6939856216618631
19,19,80,16.568206493293502,169.86261469674537,0,0.6864751313470506,0,0.6864751313470506
20,20,80,17.254681624640554,168.02431793279573,0,0.6790459214838908,0,0.6790459214838908
21,21,80,17.933727546124445,166.2059156877099,0,0.6716971124344974,0,0.6716971124344974
22,22,80,18.605424658558942,164.40719265790443,0,0.6644278340806518,0,0.6644278340806518
23,23,80,19.269852492639593,162.6279358698664,0,0.6572372257207774,0,0.6572372257207774
24,24,80,19.92708971836037,160.86793465493682,0,0.6501244359680307,0,0.6501244359680307
25,25,80,20.577214154328402,159.12698062436695,0,0.6430886226494952,0,0.6430886226494952
